X,Y,OBJECTID,ADA_ID,SGNL_BtnCount,SGNL_Status,SGNL_OffReviewStatus,SGNL_OffReviewNotes,SGNL_CollectorNotes,SGNL_Analysis,SGNL_Compliant,SGNL_CorridorID,SGNL_WorkArea,SGNL_Location,SGNL_IntID,SGNL_Street1,SGNL_Street2,SGNL_LocInInt,SGNL_SurveyDate,SGNL_Surveyor,SGNL_AddlBtnAdj,SGNL_AddlBtnDist,SGNL_AddlBtnID,SGNL_PedXings,SGNL_ClrXingDir1,SGNL_XingDir1,SGNL_SignPresent1,SGNL_SignPurpose1,SGNL_SignLettering1,SGNL_SignPosition1,SGNL_DistToXWalk1,SGNL_DistToCurb1,SGNL_PARToBtn1,SGNL_PARToXWalk1,SGNL_ClrSpc1,SGNL_ClrSpcParaSlope1,SGNL_ClrSpcPerpSlope1,SGNL_PARParaSlope1,SGNL_FrwrdApproach1,SGNL_FrwrdReach1,SGNL_FrwrdConstrain1,SGNL_FrwrdConstrainWid1,SGNL_FrwrdObs1,SGNL_FrwrdObsDist1,SGNL_ParaApproach1,SGNL_ParaReach1,SGNL_ParaConstrain1,SGNL_ParaConstrainWid1,SGNL_ParaObs1,SGNL_ParaObsDist1,SGNL_BtnHt1,SGNL_BtnPressure1,SGNL_BtnDia1,SGNL_BtnClosedFist1,SGNL_PostLocation,SGNL_BtnAPS1,SGNL_VTArrow1,SGNL_VTArrowPara1,SGNL_VTArrowContrast1,SGNL_PilotLight1,SGNL_IlluminSignal1,SGNL_VerbalMsg1,SGNL_VerbalMsgAudible1,SGNL_BtnLocTone1,SGNL_AudibleRange1,SGNL_ExtendPress1,SGNL_PercussiveTone1,SGNL_ClrXingDir2,SGNL_XingDir2,SGNL_SignPresent2,SGNL_SignPurpose2,SGNL_SignLettering2,SGNL_SignPosition2,SGNL_DistToXWalk2,SGNL_DistToCurb2,SGNL_PARToBtn2,SGNL_PARToXWalk2,SGNL_ClrSpc2,SGNL_ClrSpcParaSlope2,SGNL_ClrSpcPerpSlope2,SGNL_PARParaSlope2,SGNL_FrwrdApproach2,SGNL_FrwrdReach2,SGNL_FrwrdConstrain2,SGNL_FrwrdConstrainWid2,SGNL_FrwrdObs2,SGNL_FrwrdObsDist2,SGNL_ParaApproach2,SGNL_ParaReach2,SGNL_ParaConstrain2,SGNL_ParaConstrainWid2,SGNL_ParaObs2,SGNL_ParaObsDist2,SGNL_BtnHt2,SGNL_BtnPressure2,SGNL_BtnDia2,SGNL_BtnClosedFist2,SGNL_BtnAPS2,SGNL_VTArrow2,SGNL_VTArrowPara2,SGNL_VTArrowContrast2,SGNL_PilotLight2,SGNL_IlluminSignal2,SGNL_VerbalMsg2,SGNL_VerbalMsgAudible2,SGNL_BtnLocTone2,SGNL_AudibleRange2,SGNL_ExtendPress2,SGNL_PercussiveTone2,SGNL_Picture1,SGNL_Picture2,SGNL_Picture3,SGNL_Notes,SGNL_InventoryLink,SGNL_ComplianceLink,SNGL_INT_Signal_ID,AssetID,Remediated,RemediationComments,RemediatedBy,RemediatedDate,ActualCosts,TechnicalInfeasibility,DocumentLink,Comments,Text1,Text2,Num1,Num2,Text3,SGNL_AssetID
1465831.01330981,518099.161501065,1,0005450B5BC6,Button2,Complete,Valid,,,AnalysisValid,No,SARDIS-RD-060,2,,,SARDIS_RD,RANDOLPH_RD,W,12/11/2018 14:02,shoesly,No,N/A,,2,ClearlyMarked,To SE,Yes,Yes,Yes,Yes,0.0,105.0,Yes,Yes,Yes,7.0,8.1,9.4,No,,,,,,Yes,17.0,No,,Yes,11.0,38.0,2.0,2.0,Yes,No,NonAPS,,,,,,,,,,,,ClearlyMarked,To NE,Yes,Yes,Yes,Yes,0.0,100.0,Yes,Yes,Yes,9.7,5.4,7.8,Yes,9.0,No,,Yes,5.0,Yes,7.0,No,,Yes,3.5,38.0,2.0,2.0,Yes,NonAPS,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/39A179F2-0FB4-4A7D-B9F5-5F19096D83E_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/39A179F2-0FB4-4A7D-B9F5-5F19096D83E_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/39A179F2-0FB4-4A7D-B9F5-5F19096D83E_SGNL_Picture3.jpg,,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_0005450B5BC6.pdf,,SG1,,,,,,,,,,,,,,00493_268
1457461.33090222,481756.350656644,2,00217DFFAA74,Button1,Complete,Valid,,,AnalysisValid,No,REA-RD-360,2,,27288,PIPER_STATION_DR,REA_RD,S,11/08/2018 09:04,shoesly,No,N/A,,2,ClearlyMarked,To NE,Yes,Yes,No,Yes,176.0,158.0,No,No,No,,,5.7,No,,,,,,No,,,,,,35.0,2.0,2.0,Yes,No,NonAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/DD365D9F-BD7F-4788-88E8-00217DFFAA74_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/DD365D9F-BD7F-4788-88E8-00217DFFAA74_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/DD365D9F-BD7F-4788-88E8-00217DFFAA74_SGNL_Picture3.jpg,,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_00217DFFAA74.pdf,,SG2,,,,,,,,,,,,,,01550_482
1479235.75880997,572283.403854147,3,0026797DBE89,Button1,Complete,Valid,,,AnalysisValid,No,N-TRYON-ST-830,1A,,32449,N_TRYON_ST,J_W_CLAY_BV,S,2/19/2018 10:56,solivella,Yes,338.0,AA7E1A595B04,,Yes,To NW,Yes,Yes,,Yes,56.0,71.0,Yes,Yes,Yes,8.3,3.7,,No,N/A,,N/A,Yes,3.0,Yes,12.0,Yes,48.0,Yes,3.0,40.0,2.0,2.0,Yes,,APS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/7F3E78B7-18F1-4A3E-8DD2-0026797DBE89_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/7F3E78B7-18F1-4A3E-8DD2-0026797DBE89_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/7F3E78B7-18F1-4A3E-8DD2-0026797DBE89_SGNL_Picture3.jpg,,7F3E78B7-18F1-4A3E-8DD2-0026797DBE89,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_0026797DBE89.pdf,349,SG3,,,,,,,,,,,,,,00349_164
1439807.5515773,545086.745977223,4,0042C022C04C,Button2,Complete,Valid,,,AnalysisValid,No,BERRYHILL-RD-030,4,,11538,FREEDOM_DR,BERRYHILL_RD,NE,2/22/2018 11:56,solivella,No,N/A,,,Yes,To NW,Yes,Yes,Yes,Yes,40.0,13.0,Yes,Yes,Yes,2.0,2.4,,No,N/A,,N/A,No,N/A,Yes,13.0,Yes,48.0,No,N/A,50.0,2.0,2.0,Yes,,NonAPS,,,,,,,,,,,,Yes,To S,Yes,Yes,Yes,Yes,50.0,9.0,Yes,Yes,Yes,0.3,4.6,,No,N/A,,N/A,No,N/A,Yes,60.0,Yes,48.0,No,N/A,50.0,2.0,2.0,Yes,NonAPS,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/BB6AF7E0-3FC1-4FA0-BB1F-0042C022C04C_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/BB6AF7E0-3FC1-4FA0-BB1F-0042C022C04C_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/BB6AF7E0-3FC1-4FA0-BB1F-0042C022C04C_SGNL_Picture3.jpg,,BB6AF7E0-3FC1-4FA0-BB1F-0042C022C04C,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_0042C022C04C.pdf,849,SG4,,,,,,,,,,,,,,00849_385
1452360.9437933,490320.820076227,5,00497DFEB3C8,Button2,Complete,Valid,,,AnalysisValid,No,PINEVILLE-MATTHEWS-RD-210,2,,26068,BAYBROOK_LN,PINEVILLE-MATTHEWS_RD,NE,6/18/2019 11:01,JWTAYLOR,No,N/A,,2,ClearlyMarked,To NW,Yes,Yes,Yes,Yes,8.0,106.0,Yes,Yes,Yes,8.3,3.1,9.1,Yes,5.0,No,,Yes,5.0,Yes,5.0,No,,Yes,5.0,40.0,2.0,2.0,Yes,No,NonAPS,,,,,,,,,,,,ClearlyMarked,To SW,Yes,Yes,Yes,Yes,70.0,93.0,Yes,Yes,Yes,4.7,9.6,9.1,Yes,5.0,No,,Yes,5.0,Yes,5.0,No,,Yes,5.0,39.0,2.0,2.0,Yes,NonAPS,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/90BD7B8B-D91A-4B1B-9FC4-00497DFEB3C8_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/90BD7B8B-D91A-4B1B-9FC4-00497DFEB3C8_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/90BD7B8B-D91A-4B1B-9FC4-00497DFEB3C8_SGNL_Picture3.jpg,,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_00497DFEB3C8.pdf,,SG5,,,,,,,,,,,,,,01533_626
1459254.26826122,548086.87974073,6,007240BB3409,Button2,Complete,Valid,,,AnalysisValid,No,JORDAN-PL-020,1B,,,N_DAVIDSON_ST,JORDAN_PL,NE,6/26/2019 10:30,jwtaylor,,,,2,ClearlyMarked,To NW,Yes,Yes,No,Yes,0.0,115.0,Yes,Yes,Yes,0.9,1.2,1.4,Yes,21.0,No,,Yes,6.5,Yes,19.0,No,,Yes,6.0,38.0,2.0,2.0,Yes,No,NonAPS,,,,,,,,,,,,ClearlyMarked,To SW,Yes,Yes,No,No,47.0,115.0,Yes,Yes,Yes,0.9,1.2,1.5,Yes,40.0,No,,Yes,6.5,Yes,21.0,No,,Yes,9.5,38.0,2.0,2.0,Yes,NonAPS,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/77D82FD9-3234-44DB-A5DC-007240BB3409_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/77D82FD9-3234-44DB-A5DC-007240BB3409_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/77D82FD9-3234-44DB-A5DC-007240BB3409_SGNL_Picture3.jpg,TEXT HT 7/16,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_007240BB3409.pdf,,SG6,,,,,,,,,,,,,,00279_27
1433396.12607998,562653.842076555,7,00D43575FDC7,Button1,Complete,Valid,,,AnalysisValid,No,BROOKSHIRE-BV-250,4,,7031,BROOKSHIRE_BV,OAKDALE_RD,W,3/02/2018 08:21,solivella,Yes,195.0,79015BCCDDF4,,Yes,To S,Yes,Yes,Yes,Yes,0.0,7.0,,Yes,Yes,1.0,6.2,,No,N/A,,N/A,Yes,4.0,Yes,17.0,Yes,48.0,Yes,4.0,38.0,2.0,2.0,Yes,,NonAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/6BBC3654-8C93-44B9-8566-00D43575FDC7_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/6BBC3654-8C93-44B9-8566-00D43575FDC7_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/6BBC3654-8C93-44B9-8566-00D43575FDC7_SGNL_Picture3.jpg,,6BBC3654-8C93-44B9-8566-00D43575FDC7,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_00D43575FDC7.pdf,1646,SG7,,,,,,,,,,,,,,01646_791
1456074.25428006,548637.691959307,8,00EA58C11C8C,Button1,Complete,Valid,,,AnalysisValid,No,W-24TH-ST-010,1B,,,N_TRYON_ST,W_24TH_ST,N,10/21/2019 08:00,tdriggers,No,,,2,ClearlyMarked,To SE,Yes,Yes,Yes,,24.0,41.0,No,No,No,,,5.2,Yes,34.0,No,,No,,Yes,34.0,No,,No,,38.0,0.5,2.0,Yes,No,NonAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/43190E48-BF1E-4453-892C-00EA58C11C8C_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/43190E48-BF1E-4453-892C-00EA58C11C8C_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/43190E48-BF1E-4453-892C-00EA58C11C8C_SGNL_Picture3.jpg,,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_00EA58C11C8C.pdf,,SG8,,,,,,,,,,,,,,00203_67
1463407.7189438,590967.255922064,9,0121FFE6A422,Button1,Complete,Valid,,,AnalysisValid,No,DEARMON-RD-010,1A,,3105,DEARMON_RD,BROWNE_RD,NE,2/02/2018 14:02,hfoley,Yes,197.0,2E11F1D7595B,,Yes,To SE,Yes,Yes,Yes,Yes,0.0,92.0,Yes,Yes,Yes,3.1,2.5,,Yes,0.0,Yes,60.0,Yes,3.0,Yes,0.0,Yes,60.0,Yes,3.0,31.0,1.0,2.0,Yes,,APS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gis.charlottenc.gov/static/CDOT/Pictures/9AB7E77C-5127-4FD1-99E8-0121FFE6A422_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/9AB7E77C-5127-4FD1-99E8-0121FFE6A422_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/9AB7E77C-5127-4FD1-99E8-0121FFE6A422_SGNL_Picture3.jpg,,9AB7E77C-5127-4FD1-99E8-0121FFE6A422,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_0121FFE6A422.pdf,-9999,SG9,,,,,,,,,,,,,,01742_992
1463520.86963613,516105.466997638,10,013B9D0E1A9C,Button2,Complete,Valid,,,AnalysisValid,No,SARDIS-RD-030,2,,,SARDIS_RD,PROVIDENCE_RD,N,1/21/2019 09:31,shoesly,No,N/A,,2,ClearlyMarked,To SW,Yes,Yes,Yes,Yes,106.0,130.0,Yes,Yes,Yes,1.4,0.9,0.3,Yes,14.0,No,,Yes,6.0,Yes,6.0,No,,Yes,3.0,43.0,3.0,2.0,Yes,No,APS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ClearlyMarked,To SE,Yes,Yes,Yes,Yes,87.0,103.0,Yes,Yes,Yes,1.6,1.2,2.7,Yes,8.0,No,,Yes,3.0,Yes,5.0,No,,Yes,2.0,42.0,3.0,2.0,Yes,APS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://gis.charlottenc.gov/static/CDOT/Pictures/519A2EC9-ED67-4B06-9B83-013B9D0E1A9C_SGNL_Picture1.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/519A2EC9-ED67-4B06-9B83-013B9D0E1A9C_SGNL_Picture2.jpg,https://gis.charlottenc.gov/static/CDOT/Pictures/519A2EC9-ED67-4B06-9B83-013B9D0E1A9C_SGNL_Picture3.jpg,,,https://gis.charlottenc.gov/static/CDOT/Reports/Appx%20C%20Pushbutton%20Reports/Signals_013B9D0E1A9C.pdf,,SG10,,,,,,,,,,,,,,00510_280
