X,Y,OBJECTID,UNITID,Location,Status,Project,ApproveDate,ConstructDate,GlobalID,Metered
1469117.340231,479021.020231009,826,ADA-53,Sandy Rock Place,C,Rea Farms Retail,2017/07/07 00:00:00+00,,5ea24ae7-49a2-4457-8a2d-5a229d559322,NO
1447289.17398101,520989.087106004,827,ADA-78,Mockingbird Lane,UC,Park Seneca Building Renovation,2016/08/31 00:00:00+00,,d287d101-756a-4046-bf81-eed9f8b72a2a,
1449561.67835601,537921.790231004,828,ADA-81,Baxter Street (after Berkely Ave),A,Pearl Parkway,2018/07/30 00:00:00+00,,f0353b87-aab7-427b-835c-e4e4ea47fd2c,
1467617.65523101,478624.238356009,829,ADA-95,South Rea Park Lane (corner of Terminus Rd RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,8a99243d-09f2-4bee-a736-ee69dec4d4e0,
1446086.433981,521551.433981001,830,ADA-46,Abbey Place (off Park Road),C,Abbey Place (off Park Road),2016/05/02 00:00:00+00,,77ffcaec-c27e-4635-8776-614ccce1ea47,NO
1447129.00273101,545286.148981005,831,ADA-1,Trade St (Johnson & Wales Way to Clarkson),A,Streetcar,2016/08/31 00:00:00+00,,9d6ebf2b-98fd-4f28-868e-3e27fa3fa9b5,
1401590.03835601,495836.447731003,832,ADA-125,Clovercliff Road (off S. Tryon),A,Rivergate Greene,,,16214d16-eda8-4284-b3b7-72dae5e044ef,
1445903.340231,539383.65960601,833,ADA-58,Bland St (Tryon and Winnifred),UC,The Railyard,2017/11/20 00:00:00+00,,a142f9b5-39bb-4fa3-b39c-ab12557be2c7,
1467324.95335601,478993.377106011,834,ADA-88,Red Rust Lane ( corner of Red Rust and Walnut Branch LT),C,Rea Farms Retail,2018/08/23 00:00:00+00,,b0745b4e-dfc2-49ef-b262-8af2790ba3b8,
1446080.433981,521525.433981001,835,ADA-47,Abbey Place (off Park Road),C,Abbey Place (off Park Road),2016/05/02 00:00:00+00,,162a4e8a-1d0c-4f31-9414-4145b0e63c21,NO
1451749.54648101,541138.945231006,836,ADA-11,5th Street (Alexander St),C,Curb lane management,2015/04/10 00:00:00+00,10/5/2016,06bc7040-64a5-454e-96f1-a80cf4d81efe,YES
1468209.526481,478249.640231013,837,ADA-106,Midway Park Dr (corner of Walnut Branch LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,84b77d12-23f0-4d5f-b2cb-f5d58f7bf2e2,
1451225.02023101,536103.340231001,838,ADA-62,Greenwood Cliff (Kenliworth and Harding),UC,1315 Harding Place,2017/04/07 00:00:00+00,,6269ef04-b41a-435d-9fa3-5c5b9f8b2b36,
1448818.05398101,543650.004606009,839,ADA-3,Trade St Graham St to Mint St,A,Streetcar,2016/08/31 00:00:00+00,,48987f1b-10ba-4d1c-9cce-36fd6d276642,
1451578.011481,542648.290856004,840,ADA-12,Brevard St (7th St),C,Levine First Ward,2015/03/18 00:00:00+00,5/1/2015,07539c1c-2c27-499d-818e-e80b6c302b06,YES
1467324.946481,478993.388981014,841,ADA-85,Red Rust Lane ( corner of Red Rust and South old Spring LT),C,Rea Farms Retail,2018/08/23 00:00:00+00,,a95d4b6e-c97b-4028-9184-c2a1dbb65f4b,
1467559.40585601,553157.427731007,842,ADA-128,Philemon Dr RT,A,Bingham Drive Residential,,,da0164a0-de26-4933-a200-3a71ee3f199e,
1468216.040856,478613.448981002,843,ADA-100,South Rea Park Lane (corner of Midway Park Dr RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,911b79d1-8faa-40f5-8f7e-24e9f4857756,
1446549.30210601,545865.433981001,844,ADA-49,N. Sycamore Street (near W. Fifth Street),C,Gateway Apartments,2015/07/22 00:00:00+00,,87614f92-340c-4a97-ace7-a19ee14659b8,NO
1447986.00023101,542646.999606013,845,ADA-18,West MLK and Mint St,C,Romare Brearden,2015/03/31 00:00:00+00,6/5/2016,6f6ad48a-36d2-4059-920e-6dc9046dc49f,YES
1467624.10773101,478988.185856014,846,ADA-90,North Rea Park Lane (corner of Terminus Rd LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,2cd58b19-d738-4898-aedb-49142ac15251,
1458939.00023101,547922.260231003,847,ADA-68,N Davidson St  (corner of N Davidson and Jordan Place),UC,Bainbridge Noda,2018/02/16 00:00:00+00,,a21a9f96-d635-4f54-8915-2d0aeb7d1115,
1428964.00023101,527253.000231013,848,ADA-40,Sage Park Drive (Millenium Ave and Piedmont Park Dr),C,City Park Townhomes Phase III,2016/12/05 00:00:00+00,,70b6504f-62ac-404b-84fb-6b68e8c84e22,NO
1441027.338356,542134.648356006,849,ADA-73,Morton St (at corner of Morton St and Suttle Ave),A,Bryant Park Apartments,2018/06/13 00:00:00+00,,c4d43197-7558-43ff-bda7-b76235e3ad3e,
1468222.62460601,478977.396481007,850,ADA-98,North Rea Park Lane (corner of Midway Park Dr LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,cf4858a7-b86d-47eb-8d4a-e6b22e9974a7,
1440543.39773101,542278.962731004,851,ADA-75,Bryant Park Dr ,A,Bryant Park Apartments,2018/06/13 00:00:00+00,,b28bf559-7059-4897-ac63-0ae4c2ea7db7,
1451890.45335601,542767.577731013,852,ADA-14,E 8th St (Brevard St),C,Levine First Ward,2015/03/18 00:00:00+00,5/1/2015,b5e02804-c11d-4624-8794-8e5850c01417,YES
1469117.02023101,479084.65960601,853,ADA-54,Sandy Rock Place,C,Rea Farms Retail,2017/07/07 00:00:00+00,,e6d120de-e151-4511-b35e-7367e621b112,NO
1475252.135856,563910.979606003,854,ADA-50,Libby Way,UC,Oxford Gateway Apartments,2017/08/08 00:00:00+00,,9c145b59-f71a-4146-88eb-431c2ede98f2,
1438702.00023101,515599.000231013,855,ADA-36,Old Pineville and Archdale (Light Rail Station),C,Blue Line,,,e0ddcef5-a50e-4479-ad7b-c4ad09501d24,NO
