OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Are,Shape__Len,Year,Shape__Area,Shape__Length
1,28075,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",82228494.0811,69856.6184912,2025,588048419.786987,186744.597995694
2,28079,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",182291925.234,106750.875061,2025,1309667700.11121,286082.082802307
3,28202,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",7027214.85898,14953.6185623,2025,50345672.3389282,40026.1133267721
4,28203,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",12183246.2382,19377.5451783,2025,87326709.1567993,51870.8572412547
5,28204,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",6857877.06327,15112.3456516,2025,49148232.034668,40450.2058854004
6,28277,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",94684256.9633,55248.15885,2025,681268150.339661,148197.255115094
7,28173,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",415424816.844,135170.253017,2026,2999020404.4361,363164.351043057
8,28079,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",182184817.248,104755.191451,2026,1308901033.73749,280727.413637438
9,28104,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",115999683.197,107729.734591,2026,834472927.990051,288899.595947954
10,28078,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",263508699.845,104778.370334,2026,1879684629.50885,279893.387776179
11,28211,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",42727873.5624,37237.1433233,2026,306564730.785461,99748.2285912179
12,28277,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",94709443.0343,53163.5663865,2026,681449529.317566,142606.003311502
13,28075,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",82379946.7704,67451.319267,2026,589131271.160217,180310.167174971
14,28203,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",12184628.0794,18818.8250698,2026,87336773.6295776,50376.1114080513
15,28204,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",6894388.57645,14372.7523166,2026,49409885.9754028,38469.2668147508
16,28278,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",126636393.316,80511.9277847,2026,909423520.048096,215574.321229466
17,28262,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",82314721.8676,51805.883092,2026,588316717.692078,138479.061700313
18,28269,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",120147154.16,61885.6211994,2026,858472160.021301,165341.66793337
19,28270,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",48456595.5447,56493.1131883,2026,348164382.091431,151378.714595479
20,28202,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",7009471.1486,14694.792784,2026,50218539.8455811,39334.2667882994
21,28273,METRO16740M16740,SA,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",88164044.3098,63443.7783178,2026,633207910.901184,169994.665112232
