OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
1,371939609011,0.105354059,0.269430052,0.203799655,0.020725389,0.045283019,0.147492625,0,9.5,8,8,8,193,11,High Country RPO,4faa5c10-f34c-4771-aa22-b218d5b3b836,0.0129958729239661,0.716261804183565
2,371939609012,0.174574754,0.344673232,0.355416294,0.007162041,0.031683168,0.217977528,0,9.5,9.5,9.5,10.5,193,11,High Country RPO,adf89b60-574e-4f13-a382-1d892b2fe861,0.0136241571192386,0.672250331530335
3,371939612011,0.311315336,0.085008616,0.102814474,0.060884549,0.143129771,0.121973094,0.196760648,12.5,13.5,13.5,13.5,193,11,High Country RPO,9fb13fd0-90ca-4e52-9303-89502394e7aa,0.00845606560324086,0.502700707218946
4,371939601011,0.2205,0.201,0.139,0.12,0,0.283221477,0,11.5,11.5,13,12.5,193,11,High Country RPO,44109b36-c1ff-4c0f-87d3-82d973fc6f19,0.00364757940201343,0.27355895876262
5,371939604011,0.295532646,0.313573883,0.14347079,0.329037801,0,0.203187251,0.037178265,13.5,14.5,15.5,15.5,193,11,High Country RPO,03948843-19db-484f-bc91-7f283f30cdd0,0.0155033759590424,0.740511103822037
6,371590518013,0.312127237,0.303180915,0.083996024,0.078528827,0.013793103,0.084337349,0.004810583,12,12,12,12,159,9,Cabarrus Rowan MPO,b64abe12-005b-4132-92b5-4fe706b05a2e,0.00174039883631849,0.173860779415612
7,370810139004,0.328151986,0.533103051,0.070811744,0.948762234,0.272435897,0.237799468,0.08490566,19,18,18,18,81,7,High Point Urban Area MPO,01a24c71-d6d2-42ab-98ee-569eef1b01a5,8.3068540561726E-05,0.0417552117032166
8,370810140001,0.367243867,0.323232323,0.037518038,0.611111111,0.092948718,0.035335689,0.069020867,13,13,13,14,81,7,High Point Urban Area MPO,e0a103e4-d7fb-47f7-b062-cf4cb17b7657,9.77829954535991E-05,0.05090886584669
9,370670037032,0.148528405,0.093771389,0.151266256,0.357289528,0,0.139419087,0.028017241,10,10.5,10.5,10.5,67,9,Winston Salem Urban Area MPO,068ac702-8b14-4b22-9cb1-fd9187a4909b,0.000232245419965693,0.0906404625203063
10,371830544043,0.170871014,0.184198001,0.137077582,0.508805331,0.142105263,0.348125,0,13.5,13.5,13.5,13.5,183,5,Capital Area MPO,9aa5c711-c420-45d8-acff-953df343aee7,0.00136835204853014,0.234385074333309
11,371830527013,0.145248869,0.12760181,0.031221719,0.741628959,0,0.069348862,0.062859885,10.5,10.5,11,11,183,5,Capital Area MPO,03b3e00e-69b2-47f0-b26e-1f79757f52c2,0.000241235686871732,0.0797125183768567
12,371830531113,0.267908309,0.241404011,0.089541547,0.444842407,0,0.061181435,0.025389025,12.5,12.5,12.5,12.5,183,5,Capital Area MPO,1181c8be-2bf6-4fed-bf26-8b4c7028d866,0.000518454939310686,0.12259112258743
13,371190054041,0.206420435,0.214359682,0.162581981,0.91577494,0.113051471,0.085926614,0.10252809,14,14,14,13.5,119,10,Charlotte Regional Transportation Planning Organization,30d3fa95-2e13-4880-ac06-cb7ad456b6f6,0.000312191515149607,0.0910456470724908
14,370350111021,0.287073307,0.169557918,0.059876889,0.241745943,0.020109689,0.096136568,0.131038647,11.5,13.5,13,13.5,35,12,Greater Hickory MPO,3a0e9515-2d26-47ea-8de1-f4f06509134d,0.000712028660018404,0.158827550045357
15,370350115012,0.162778079,0.104177971,0.284319045,0.066739012,0,0.205162144,0.00751011,9.5,8.5,8.5,8.5,35,12,Greater Hickory MPO,c4c1d98d-b93f-4911-84ac-28fef8f1ccad,0.00331248600468825,0.270796521546032
16,370350113002,0.234202608,0.145937813,0.254764293,0.193580742,0.088410992,0.036890646,0.047645429,9,10,12,11,35,12,Greater Hickory MPO,faa7726a-351d-4e64-b5bd-f7cc35376358,0.00110942488072396,0.184604561701436
17,370350112004,0.095159967,0.13535685,0.274815422,0.006562756,0.103852596,0.126926564,0.004101723,9,8,8,8,35,12,Greater Hickory MPO,3e674d50-e053-492a-9e7e-33ff6ec2baf4,0.000361787320571239,0.106405401651979
18,370350117011,0.164744646,0.291048874,0.137287205,0.378912685,0.035971223,0.128581925,0.040478905,12,12,12,12,35,12,Greater Hickory MPO,55579471-39dc-4a0b-8d99-dfc04caff78b,0.0013855345423508,0.207627472589158
19,370350114011,0.082674772,0.210334347,0.138601824,0.304559271,0.00877193,0.053979239,0.08338558,12,12,12,12,35,12,Greater Hickory MPO,c8e4f995-6bfe-4219-801f-7f7456723fab,0.00120216962409359,0.153670122987368
20,370350117023,0.1037182,0.14481409,0.152641879,0.075342466,0,0.215065502,0,8,7.5,8,8,35,12,Greater Hickory MPO,6a19c8cf-6715-48d2-894f-4f8ca1926e74,0.000745521308090247,0.147278354482468
21,370350101011,0.244144784,0.15046132,0.134137686,0.259758694,0,0.119667014,0,8,9.5,10.5,10.5,35,12,Greater Hickory MPO,4d5cf5c3-3a01-4330-a3f7-128a8bc93665,0.00264220674898752,0.241366209041678
22,370350103031,0.226597805,0.223369916,0.220787605,0.169141382,0.030456853,0.196027634,0.027758501,11,11,12.5,12.5,35,12,Greater Hickory MPO,d64e58e2-7b1f-43b7-80d7-834ad560e0e0,0.000251831978403061,0.0716584288662775
23,370350111012,0.13593836,0.127132636,0.191524491,0.027517887,0.012838802,0.173039533,0.013218391,9,9,8,9,35,12,Greater Hickory MPO,87de6aa6-cb1f-4a2d-b2eb-a58defc5fc66,0.00202138964937149,0.232427508984285
24,370350106003,0.217939214,0.295033358,0.280948851,0.196441809,0.023255814,0.276391555,0.085160202,13,12.5,12.5,13.5,35,12,Greater Hickory MPO,c1d18536-a8c7-40e4-8cd7-7fb5af8989c1,0.00031335363701146,0.138903273418953
25,370350103032,0.141566265,0.296184739,0.203815261,0.212516734,0.1085209,0.112929624,0.105501393,10.5,12.5,13,12.5,35,12,Greater Hickory MPO,2db56d69-cbb3-46f7-9080-dec9209a2de4,0.000624401703362309,0.145845257892712
26,370350116023,0.127098321,0.081534772,0.20383693,0.003597122,0,0.15521978,0,7.5,7.5,6.5,7.5,35,12,Greater Hickory MPO,11276dcc-9781-4ca1-865c-04f259c76801,0.00166629726572864,0.196151184505093
27,370350116011,0.270928463,0.204718417,0.169710807,0.136225266,0.109561753,0.14893617,0.053488372,13,13,12,14,35,12,Greater Hickory MPO,b8655e0a-c848-4c0c-85d8-25a2dd474a43,0.00185474996555968,0.202111671165923
28,371719307004,0.148261759,0.334355828,0.198364008,0.18200409,0.036745407,0.175349428,0,10.5,10.5,10.5,9.5,171,11,Northwest Piedmont RPO,5b254d38-9990-4640-b235-068a478ec774,0.00167343078146587,0.213998801531802
