OBJECTID,Corridor,Station,GlobalID,Shape__Area,Shape__Length
401,North,Eastfield,b27b0f78-9222-4e7a-9dfd-8e320cae4974,12472514.9047852,16795.0689447097
402,North,Gateway,f787903e-689b-4b24-91ee-63202e5e37d8,21784032.6450806,16566.329775047
403,North,Hambright,80eea465-9613-4670-882d-0a1ab63ef198,21784031.5720215,16566.3293663367
404,North,Huntersville,aa5a5bfe-ab93-44e4-8bed-5d7162b95237,21784032.7648926,16566.329820773
405,North,Sam Furr,52fd98e5-5179-4b18-8264-c3e2b013e2f4,21784031.7478027,16566.3294334862
406,North,Cornelius,062ba6c8-af71-4377-94e5-d06c995fc349,21784032.0237427,16566.3295380457
407,North,Davidson,ad62770b-7759-4813-802a-bc03506c6291,21784032.1364746,16566.3295814257
408,North,Mt Mourne,a5ff166a-0572-40f4-aade-4db257f23a90,21784031.4874878,16566.3293341614
409,North,Mooresville,1486d240-a1b7-4bd2-8845-6708214115fb,21784032.2005615,16566.3296056303
410,North,Williams St,55c8e65e-9d82-4ca0-b63d-4bbf9f81b038,21784032.3773804,16566.3296727847
411,North,WT Harris Blvd,4dbc656d-37d3-4330-81c3-20a59b184bc8,21784032.3847656,16566.3296757143
412,South,New Bern,7aa4228d-81cb-4b7b-a06b-3ee0d927e5d0,29161294.8319092,28839.822342712
413,South,Scaleybark,9864ac48-b5cb-490b-ba9f-ec8381a5c986,28084385.8009033,26228.2503505537
414,South,Woodlawn,c82108a7-03b6-4d62-b779-8e4b5fa19d55,26219964.1207275,23096.0381919013
415,South,Tyvola,49e05689-42aa-4982-8b80-99ec0aa4c41f,25553728.3833008,22807.0022196554
416,South,Archdale,a4d951ca-673b-49e7-8722-9b9f11e114ae,30605052.6824341,30371.0945385176
417,South,Arrowood,dac75a04-e9b3-433d-b01c-422f040aa4db,35138301.1941528,28615.5910566423
418,South,Sharon Rd West,6adfeb10-6026-4d41-a098-6b1ef4962f1a,38296883.1765747,28533.0891584046
419,South,I-485,91a3f0f3-78d9-4f62-8539-3f5568771a6c,22684012.1246948,21941.8681253163
420,North,Derita,1ae1372e-e786-47fa-b3bc-4514a76bc066,21892042.3297119,16586.9269611047
421,Southeast,Briar Creek,8f4de60e-aca5-4179-8342-1a15f1b0e979,4900741.19519043,12432.9962189411
422,Southeast,Amity Gardens,971898b7-05ba-4348-b53d-3a8ffbfc9482,3839841.36627197,10685.6443914526
423,Southeast,Sharon Amity,15ea612e-8f40-4454-98b6-ee66f8c371fb,2263736.51269531,9781.50904592419
424,Southeast,Conference Drive,7cea1254-0caf-48d7-acec-08e8d8b0f7e3,7905362.65917969,17535.7336571056
425,Southeast,Village Lake,1aadd180-8d45-4c0a-be79-fa072c889ab0,5138798.58636475,14958.043709333
426,Southeast,Sardis Road North,ea50fb07-e462-4d0b-bd78-40cc4c584ed9,8756852.62011719,15557.6551832623
427,South,South End Transit Station Area Plan,c0a045c4-ae8f-4b57-8f23-a0773c4d9b76,17065694.6962891,26736.3581267628
428,Northeast,Tom Hunter Station,2423f570-3bb5-4df6-860c-0649af753b97,23050364.2958984,24188.913938038
429,Northeast,Old Concord Station,a4805665-95de-4fc2-9dda-c4e6e42f5c2e,22803024.1514282,25308.2679398758
430,Northeast,Sugar Creek Station,510c83c0-e593-466d-a109-7499455e95ab,16486891.7409058,18611.5070085882
431,Northeast,36th Street Station,17443a56-8dff-4aad-9ba4-7dd0a0b8a77a,15418880.9850464,18074.9803560747
432,Northeast,25th Street Station,f78ff1d4-cb7a-4322-a058-e322b4d6befc,5592939.19342041,9728.3317433785
433,Northeast,Parkwood Station,351faad8-0a01-434e-8e20-3994d8a6af31,10997243.6772461,18074.4979104942
434,Northeast,Univ City-McCullough Trans Sta Area,4b3606fb-4861-45aa-b1b1-6bba56dd8df3,45514208.9981079,31537.4213635717
435,Northeast,JW Clay Transit Station Area,fc3b01ec-5dc8-4035-995e-f04535e4bf74,68981466.1266479,42036.6128584807
