OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
1,BL,NBN,Mac's Speedshop,2511 South Bv,Complete,ADR,RET,0,0,0,0.4,800000,2007,HJF,Yes,,,0,3526,0,,,,18546.2340291904,573.667958443602
2,GL,Phase 1,Randolph Rd Redevelopment,1960 Randolph Rd,Proposed,NEWC,OFF,0,,,,0,0, ,Yes,,,0,0,0,,,,110960.322224992,1489.99629054099
3,BLE,25,Camden NoDa,2625 N Davidson St,Under Construction,NEWC,MIXU,384,0,0,0.32,60000000,0,Camden,Yes,Testing,,0,8220,8220,,627,,180709.623847076,2046.53957964287
4,BLE,36,NODA 40,N. Brevard Street,Complete,NEWC,MTF,40,0,0,0.5,9000000,2020,Gateway Communities,Yes,,,0,0,0,,,,29270.4626693326,1175.77863558984
5,BL,BKV,Ally Charlotte Center,601 S Tryon St,Complete,NEWC,MIXU,0,0,0,0.16,0,2021,Crescent Communities,Yes,,,787753,27439,815192,2021/05/01 00:00:00+00,10000,,128995.134525099,1576.74731757429
6,BL,CAR,Dowd YMCA Expansion,400 E Morehead St,Complete,RENOA,INS,0,0,0,0.16,20000000,2018, ,Yes,,,0,0,51000,,256,,192451.054551211,1735.98378808299
7,BL,SCB,4001 Yancey,4001 Yancey Rd,Complete,ADR,MIXU,0,0,0,0.29,16500000,2019,White Point Partners,Yes,,,46100,27200,62018,2019/01/31 00:00:00+00,205,,219447.805284923,1985.98417259221
8,BL,BKV,615 South College,615 S College St,Complete,NEWC,OFF,0,0,0,0.05,16260600,2017,Portman Holdings,Yes,,,345000,0,345000,,10000,,40067.8428685724,874.775844573595
9,BLE,9,SkyHouse II,600 N Church St,Complete,NEWC,MIXU,336,0,0,0.22,63000000,2017,Novare,Yes,,,0,7100,0,,945,,29128.6344966509,731.988714678963
10,BL,NBN,FMK Architects,123 New Bern St,Complete,ADR,OFF,0,0,0,0.05,600000,2008,FMK,Yes,,,8445,0,8445,,,,29472.8291621074,850.347357590159
11,BL,BLD,1320 S Church,1320 S Church St,Complete,ADR,RET,0,0,0,,0,2016, ,Yes,,,0,5828,0,,26,,12779.6094630216,453.601279878335
12,BL,SCB,Rugby Athletic Center,3722 S Tryon St,Complete,ADR,RET,0,0,0,0.5,1000000,2016, ,Yes,,,0,25000,25000,,,,549442.660819048,3702.66361955767
13,BL,OLDC,Eastway Regional Recreation Center,423 eastway Drive,Complete,NEWC,REC,0,0,0,1,0,2019,Mecklenburg County,Yes,,,0,0,88149,,,,3994691.56453955,11183.440415246
14,BL,BLD,1616 Center,1616 Camden Dr,Complete,NEWC,MIXU,0,0,0,0.18,40000000,2016,Centro Cityworks,Yes,,,67109,14339,81448,2016/08/02 00:00:00+00,216,,40256.1920810086,812.524365834427
15,BL,SCB,4125 Yancey,4125 Yancey Rd,Complete,ADR,RET,0,0,0,0.5,,2017, ,Yes,,,0,17455,17455,,76,,50679.1472700045,952.261124831176
16,GL,CTC,Marriott Springhill Suites,301 E 5th St,Complete,NEWC,HOS,0,0,195,0.13,17500000,2017,"SREE Charlotte Uptown Hotel, LLC",Yes,,,0,0,0,,96,,22400.4745858293,738.193253654984
17,BL,EAWT,The Abbott: Professional Town Homes,1901 Abbott St,Complete,NEWC,TWHM,16,0,0,0.25,4500000,2008,MECA,Yes,,,0,0,0,,,,41194.5936100924,995.41576005204
18,BL,BLD,District Flats,1449 S Church St,Complete,NEWC,MIXU,197,0,0,0.19,28500000,2016,Faison Properties,Yes,,,1800,770,2570,2016/08/02 00:00:00+00,79,,76303.8553164077,1110.49220524824
19,GL,Phase 2 - Central,Ascent Uptown Apartments,225 S Poplar St,Complete,NEWC,MIXU,314,0,0,0.2,62000000,2017,Greystar,Yes,,,0,4428,4428,,391,,26697.4444102717,661.911979199801
20,BL,BLD,Seoul Food Meat Company,1400 S Church St,Complete,ADR,RET,0,0,0,0.35,0,2016, ,Yes,,,0,8156,0,,33,,38152.5140127742,806.382030083558
21,BL,BLD,1440 S Tryon,1440 S Tryon St,Complete,ADR,MIXU,0,0,0,0.1,2800000,2006,Browder,Yes,,,6489,18170,24659,,34,,28513.3750307991,860.300503745067
