OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
1,BL,NBN,Mac's Speedshop,2511 South Bv,Complete,ADR,RET,0,0.0,0.0,0.4,800000.0,2007.0,HJF,Yes,,,0.0,3526.0,0.0,,,,18546.2340291904,573.667958443602
4,BLE,36,NODA 40,N. Brevard Street,Complete,NEWC,MTF,40,0.0,0.0,0.5,9000000.0,2020.0,Gateway Communities,Yes,,,0.0,0.0,0.0,,,,29270.4626693326,1175.77863558984
5,BL,BKV,Ally Charlotte Center,601 S Tryon St,Complete,NEWC,MIXU,0,0.0,0.0,0.16,0.0,2021.0,Crescent Communities,Yes,,,787753.0,27439.0,815192.0,2021/05/01 00:00:00+00,10000.0,,128995.134525099,1576.74731757429
6,BL,CAR,Dowd YMCA Expansion,400 E Morehead St,Complete,RENOA,INS,0,0.0,0.0,0.16,20000000.0,2018.0, ,Yes,,,0.0,0.0,51000.0,,256.0,,192451.054551211,1735.98378808299
7,BL,SCB,4001 Yancey,4001 Yancey Rd,Complete,ADR,MIXU,0,0.0,0.0,0.29,16500000.0,2019.0,White Point Partners,Yes,,,46100.0,27200.0,62018.0,2019/01/31 00:00:00+00,205.0,,219447.805284923,1985.98417259221
8,BL,BKV,615 South College,615 S College St,Complete,NEWC,OFF,0,0.0,0.0,0.05,16260600.0,2017.0,Portman Holdings,Yes,,,345000.0,0.0,345000.0,,10000.0,,40067.8428685724,874.775844573595
9,BLE,9,SkyHouse II,600 N Church St,Complete,NEWC,MIXU,336,0.0,0.0,0.22,63000000.0,2017.0,Novare,Yes,,,0.0,7100.0,0.0,,945.0,,29128.6344966509,731.988714678963
10,BL,NBN,FMK Architects,123 New Bern St,Complete,ADR,OFF,0,0.0,0.0,0.05,600000.0,2008.0,FMK,Yes,,,8445.0,0.0,8445.0,,,,29472.8291621074,850.347357590159
11,BL,BLD,1320 S Church,1320 S Church St,Complete,ADR,RET,0,0.0,0.0,,0.0,2016.0, ,Yes,,,0.0,5828.0,0.0,,26.0,,12779.6094630216,453.601279878335
12,BL,SCB,Rugby Athletic Center,3722 S Tryon St,Complete,ADR,RET,0,0.0,0.0,0.5,1000000.0,2016.0, ,Yes,,,0.0,25000.0,25000.0,,,,549442.660819048,3702.66361955767
