YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-07-04,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,400 S TRYON ST,28202,35.22,-80.85,Central,476,2023-01-04,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,400 S TRYON ST,28202,35.22,-80.85,Central,476,2023-01-04,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,4,Brooklyn Village,35.22139,-80.84694,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,900 SPINDLE ST,28206,35.23,-80.83,Central,476,2018-09-16,Indoors,Residential,Private Residence,Sudden/Natural Death Investigation,9,Non-Criminal Incident Reports,0,9th Street,35.2297,-80.835,73.9,71.9,72.9,3.875,100.0,99.5,97.1,25.5,3.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2018,600 S TRYON ST,28202,35.22,-80.85,Central,476,2018-05-23,Outdoors,Open Area,Construction Site,Sudden/Natural Death Investigation,9,Non-Criminal Incident Reports,4,Brooklyn Village,35.22139,-80.84694,86.8,71.1,77.6,0.0,0.0,74.8,76.5,10.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,200 E BLAND ST,28203,35.22,-80.85,Central,3,2019-11-25,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,61.1,32.1,46.1,0.0,0.0,4.8,69.5,6.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,600 N CHURCH ST,28202,35.23,-80.84,Central,476,2023-04-28,Parking Deck,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,75.8,60.6,67.8,0.844,25.0,78.8,77.1,14.2,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,500 N DAVIDSON ST,28202,35.23,-80.83,Central,476,2024-07-03,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,90.0,69.4,80.1,0.0,0.0,59.8,58.3,6.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
