INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions
20220704-0820-00,300 S BREVARD ST,28202,35.22,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2022-07-04,2022,8,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),2,CTC/Arena,35.225,-80.84139,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy"
20220704-0820-00,300 S BREVARD ST,28202,35.22,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2022-07-04,2022,8,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),3,3rd St/Convention,35.22361,-80.84306,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy"
20220704-0820-00,300 S BREVARD ST,28202,35.22,-80.84,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2022-07-04,2022,8,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),4,Brooklyn Village,35.22139,-80.84694,88.5,73.0,80.4,0.011,8.33,53.2,76.0,14.5,9.4,0.0,"Rain, Partially cloudy"
20230104-1325-00,400 S TRYON ST,28202,35.22,-80.85,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,2023-01-04,2023,13,Weekday,4,Sexual Violent Crimes,POINT (-80.846381 35.22492),3,3rd St/Convention,35.22361,-80.84306,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy"
20230104-1325-00,400 S TRYON ST,28202,35.22,-80.85,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,2023-01-04,2023,13,Weekday,4,Sexual Violent Crimes,POINT (-80.846381 35.22492),4,Brooklyn Village,35.22139,-80.84694,63.1,57.8,61.3,1.307,50.0,89.5,93.3,12.8,8.3,0.0,"Rain, Partially cloudy"
20180916-0854-01,900 SPINDLE ST,28206,35.23,-80.83,Central,476,Indoors,Residential,Private Residence,Sudden/Natural Death Investigation,2018-09-16,2018,8,Sunday,9,Non-Criminal Incident Reports,POINT (-80.831603 35.230929),0,9th Street,35.2297,-80.835,73.9,71.9,72.9,3.875,100.0,99.5,97.1,25.5,3.5,0.0,"Rain, Overcast"
20180523-1548-04,600 S TRYON ST,28202,35.22,-80.85,Central,476,Outdoors,Open Area,Construction Site,Sudden/Natural Death Investigation,2018-05-23,2018,15,Weekday,9,Non-Criminal Incident Reports,POINT (-80.848521 35.223455),4,Brooklyn Village,35.22139,-80.84694,86.8,71.1,77.6,0.0,0.0,74.8,76.5,10.0,9.9,0.0,Partially cloudy
20191125-1133-02,200 E BLAND ST,28203,35.22,-80.85,Central,3,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,2019-11-25,2019,11,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.854286 35.217008),6,Bland,35.21583,-80.85528,61.1,32.1,46.1,0.0,0.0,4.8,69.5,6.5,9.8,0.0,Clear
20230428-1602-03,600 N CHURCH ST,28202,35.23,-80.84,Central,476,Parking Deck,Residential,Apartment/Duplex Private Res,Intimidation,2023-04-28,2023,16,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.837638 35.232696),0,9th Street,35.2297,-80.835,75.8,60.6,67.8,0.844,25.0,78.8,77.1,14.2,9.1,0.0,"Rain, Partially cloudy"
20240703-0652-00,500 N DAVIDSON ST,28202,35.23,-80.83,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,2024-07-03,2024,6,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832944 35.226699),0,9th Street,35.2297,-80.835,90.0,69.4,80.1,0.0,0.0,59.8,58.3,6.3,9.9,0.0,Partially cloudy
20260118-0023-00,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2026-01-18,2026,0,Sunday,0,Fraudulent Financial Crimes,POINT (-80.83672 35.228535),0,9th Street,35.2297,-80.835,48.6,28.7,39.5,0.268,54.17,47.9,83.0,12.2,8.2,0.2,"Rain, Partially cloudy"
20260118-0023-00,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2026-01-18,2026,0,Sunday,0,Fraudulent Financial Crimes,POINT (-80.83672 35.228535),1,7th Street,35.22722,-80.83806,48.6,28.7,39.5,0.268,54.17,47.9,83.0,12.2,8.2,0.2,"Rain, Partially cloudy"
20240229-1100-01,1300 SOUTH BV,28203,35.22,-80.85,Central,3,Indoors,Commercial Place,Other - Commercial Place,False Pretenses/Swindle,2024-02-29,2024,11,Weekday,0,Fraudulent Financial Crimes,POINT (-80.852115 35.216373),6,Bland,35.21583,-80.85528,53.0,38.0,45.2,0.0,0.0,58.3,32.2,12.3,9.9,0.0,Partially cloudy
20170215-2050-03,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,2017-02-15,2017,20,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),2,CTC/Arena,35.225,-80.84139,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy"
20170215-2050-03,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,2017-02-15,2017,20,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3,3rd St/Convention,35.22361,-80.84306,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy"
20170215-2050-03,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,2017-02-15,2017,20,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),4,Brooklyn Village,35.22139,-80.84694,59.9,43.4,51.1,0.422,16.67,54.6,54.3,15.5,9.3,0.0,"Rain, Partially cloudy"
20260112-0720-00,2000 SOUTH BV,28203,35.21,-80.86,Central,3,Indoors,Retail,Shopping Mall,Shoplifting,2026-01-12,2026,7,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.859833 35.209772),7,East/West,35.21194,-80.85917,50.0,26.7,37.3,0.0,0.0,12.3,47.3,7.7,9.9,0.0,Clear
20221109-0754-01,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,2022-11-09,2022,7,Weekday,1,Property Theft and Vandalism,POINT (-80.840856 35.227041),1,7th Street,35.22722,-80.83806,65.9,46.1,56.1,0.0,0.0,57.4,50.5,17.9,9.9,0.0,Partially cloudy
