INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20220704-0820-00,300 S BREVARD ST,28202,35.223007,-80.842269,Central,476,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,2022-07-04,2022,8,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20230104-1325-00,400 S TRYON ST,28202,35.22492,-80.846381,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,2023-01-04,2023,13,Weekday,4,Sexual Violent Crimes,POINT (-80.846381 35.22492),3rd St/Convention,"['3rd St/Convention', 'Brooklyn Village']"
20180916-0854-01,900 SPINDLE ST,28206,35.230929,-80.831603,Central,476,Indoors,Residential,Private Residence,Sudden/Natural Death Investigation,2018-09-16,2018,8,Sunday,9,Non-Criminal Incident Reports,POINT (-80.831603 35.230929),9th Street,['9th Street']
20180523-1548-04,600 S TRYON ST,28202,35.223455,-80.848521,Central,476,Outdoors,Open Area,Construction Site,Sudden/Natural Death Investigation,2018-05-23,2018,15,Weekday,9,Non-Criminal Incident Reports,POINT (-80.848521 35.223455),Brooklyn Village,['Brooklyn Village']
20191125-1133-02,200 E BLAND ST,28203,35.217008,-80.854286,Central,3,Other,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,2019-11-25,2019,11,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.854286 35.217008),Bland,['Bland']
20230428-1602-03,600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,Parking Deck,Residential,Apartment/Duplex Private Res,Intimidation,2023-04-28,2023,16,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.837638 35.232696),9th Street,['9th Street']
20240703-0652-00,500 N DAVIDSON ST,28202,35.226699,-80.832944,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,2024-07-03,2024,6,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.832944 35.226699),9th Street,['9th Street']
20260118-0023-00,500 NORTH ELLIS LN,28202,35.228535,-80.83672,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2026-01-18,2026,0,Sunday,0,Fraudulent Financial Crimes,POINT (-80.83672 35.228535),7th Street,"['7th Street', '9th Street']"
20240229-1100-01,1300 SOUTH BV,28203,35.216373,-80.852115,Central,3,Indoors,Commercial Place,Other - Commercial Place,False Pretenses/Swindle,2024-02-29,2024,11,Weekday,0,Fraudulent Financial Crimes,POINT (-80.852115 35.216373),Bland,['Bland']
20170215-2050-03,300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,2017-02-15,2017,20,Weekday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20260112-0720-00,2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,Indoors,Retail,Shopping Mall,Shoplifting,2026-01-12,2026,7,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.859833 35.209772),East/West,['East/West']
20221109-0754-01,200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,Outdoors,Public/Non-Residential,Dock/Wharf/Freight/Modal Terminal,Motor Vehicle Theft,2022-11-09,2022,7,Weekday,1,Property Theft and Vandalism,POINT (-80.840856 35.227041),CTC/Arena,"['CTC/Arena', '7th Street', '3rd St/Convention']"
20240302-1932-04,600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,2024-03-02,2024,19,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.84663 35.219373),Brooklyn Village,['Brooklyn Village']
20170120-1656-01,600 E TRADE ST,28202,35.222915,-80.83802,Central,476,Indoors,Commercial Place,Bus - Charter/Tour Bus,Pocket-Picking,2017-01-20,2017,16,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20200618-2050-06,100 N TRYON ST,28202,35.227199,-80.843083,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Arson,2020-06-18,2020,20,Weekday,6,"""Violent and Harmful Offenses""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20170418-1759-01,2000 EUCLID AV,28213,35.208109,-80.857522,Providence,3,Indoors,Residential,Private Residence,Wire Fraud,2017-04-18,2017,17,Weekday,0,Fraudulent Financial Crimes,POINT (-80.857522 35.208109),East/West,['East/West']
20180823-0715-01,300 S TRYON ST,28202,35.225651,-80.845306,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,2018-08-23,2018,7,Weekday,1,Property Theft and Vandalism,POINT (-80.845306 35.225651),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena']"
20230513-0556-01,300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,Parking Deck,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,2023-05-13,2023,5,Saturday,1,Property Theft and Vandalism,POINT (-80.847028 35.226138),3rd St/Convention,['3rd St/Convention']
20231008-1323-00,300 E 6TH ST,28202,35.227841,-80.839745,Central,476,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,2023-10-08,2023,13,Sunday,1,Property Theft and Vandalism,POINT (-80.839745 35.227841),7th Street,"['7th Street', 'CTC/Arena', '9th Street']"
20180904-1921-00,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Outdoors,Commercial Place,Stadium/Arena,Aggravated Assault,2018-09-04,2018,19,Weekday,4,Sexual Violent Crimes,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20220424-1522-01,200 E 3RD ST,28202,35.224709,-80.844206,Central,476,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,2022-04-24,2022,15,Sunday,1,Property Theft and Vandalism,POINT (-80.844206 35.224709),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20220502-1730-00,100 S POPLAR ST,28202,35.228968,-80.84514,Central,476,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,2022-05-02,2022,17,Weekday,1,Property Theft and Vandalism,POINT (-80.84514 35.228968),CTC/Arena,['CTC/Arena']
20231015-0441-00,200 E 7TH ST,28202,35.228585,-80.838701,Central,476,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,2023-10-15,2023,4,Sunday,1,Property Theft and Vandalism,POINT (-80.838701 35.228585),7th Street,"['7th Street', '9th Street', 'CTC/Arena']"
20181019-1035-00,300 N CALDWELL ST,28202,35.225305,-80.836821,Central,476,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,2018-10-19,2018,10,Weekday,1,Property Theft and Vandalism,POINT (-80.836821 35.225305),7th Street,"['7th Street', 'CTC/Arena']"
20230920-1351-02,100 N TRYON ST,28202,35.227199,-80.843083,Central,476,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,2023-09-20,2023,13,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.843083 35.227199),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20241120-0720-02,700 E 7TH ST,28202,35.224416,-80.833784,Central,476,Outdoors,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2024-11-20,2024,7,Weekday,1,Property Theft and Vandalism,POINT (-80.833784 35.224416),7th Street,['7th Street']
20220911-0701-00,500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,2022-09-11,2022,7,Sunday,1,Property Theft and Vandalism,POINT (-80.837656 35.229332),7th Street,"['7th Street', '9th Street']"
20191124-1230-03,300 E TRADE ST,28202,35.226243,-80.841973,Central,476,Indoors,Commercial Place,Other - Commercial Place,Purse-Snatching,2019-11-24,2019,12,Sunday,7,"""Financial and Personal Crimes""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
