OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
236556,98002,MAPLE SUGAR,3.0,1,228 EAST BV,POINT (513037.84873762156 3896439.4317748286),7,East/West,35.21194,-80.85917,1
245416,98009,OAK WILLOW,38.0,1,400 EAST BV,POINT (513230.57468866283 3896263.791517614),7,East/West,35.21194,-80.85917,1
253798,107941,MAGNOLIA SAUCER,6.0,1,2151 HAWKINS ST,POINT (512538.5197865716 3896270.4062035726),7,East/West,35.21194,-80.85917,1
254050,107817,PHOTINIA SPP,9.0,1,200 E TREMONT AV,POINT (512839.3028277545 3896206.8499914664),7,East/West,35.21194,-80.85917,1
254285,97973,ZELKOVA JAPANESE,4.0,1,125 WEST BV,POINT (512746.8757156153 3896676.3441029377),7,East/West,35.21194,-80.85917,1
254462,97949,OAK WILLOW,30.0,1,225 E WORTHINGTON AV,POINT (512929.69580939214 3896364.8722748044),7,East/West,35.21194,-80.85917,1
254773,97996,CRAPEMYRTLE SPP,4.0,1,208 EAST BV,POINT (512977.83538596577 3896494.1032236046),7,East/West,35.21194,-80.85917,1
254858,97392,MAGNOLIA CUCUMBER TREE,3.0,1,100 W WORTHINGTON AV,POINT (512751.8432843263 3896539.846045285),7,East/West,35.21194,-80.85917,1
255033,97396,MAGNOLIA CUCUMBER TREE,5.0,1,128 W WORTHINGTON AV,POINT (512684.90404769394 3896577.8401610083),7,East/West,35.21194,-80.85917,1
255146,96780,CRAPEMYRTLE SPP,4.0,1,1928 SOUTH BV,POINT (512761.39217566384 3896339.191249461),7,East/West,35.21194,-80.85917,1
255379,97979,OAK WATER,36.0,1,1800 CAMDEN RD,POINT (512820.9894505114 3896633.9538498754),6,Bland,35.21583,-80.85528,1
255379,97979,OAK WATER,36.0,1,1800 CAMDEN RD,POINT (512820.9894505114 3896633.9538498754),7,East/West,35.21194,-80.85917,1
255581,107305,MAPLE SILVER,17.0,1,1928 EUCLID AV,POINT (512967.1016364155 3896145.3070584964),7,East/West,35.21194,-80.85917,1
256162,97493,DOGWOOD FLOWERING,8.0,1,300 E WORTHINGTON AV,POINT (512967.2587385762 3896314.153189693),7,East/West,35.21194,-80.85917,1
256188,97950,DOGWOOD FLOWERING,8.0,1,225 E WORTHINGTON AV,POINT (512912.97573920834 3896380.3416231656),7,East/West,35.21194,-80.85917,1
256493,98006,OAK WILLOW,3.0,1,316 EAST BV,POINT (513105.62378225825 3896378.4317475553),7,East/West,35.21194,-80.85917,1
256605,97971,ELM CHINESE,4.0,1,205 WEST BV,POINT (512695.8621998533 3896704.3528931495),7,East/West,35.21194,-80.85917,1
257172,97926,OAK WILLOW,20.0,1,319 E WORTHINGTON AV,POINT (513024.6523270803 3896279.0372277917),7,East/West,35.21194,-80.85917,1
257411,96766,ELM CHINESE,15.0,1,1900 SOUTH BV,POINT (512836.6898166272 3896422.138254159),7,East/West,35.21194,-80.85917,1
257747,97925,OAK WILLOW,20.0,1,321 E WORTHINGTON AV,POINT (513033.7947553917 3896270.3002358605),7,East/West,35.21194,-80.85917,1
257795,97975,ELM CHINESE,4.0,1,121 WEST BV,POINT (512768.6792520051 3896663.7328939196),7,East/West,35.21194,-80.85917,1
257857,97397,MAGNOLIA CUCUMBER TREE,2.0,1,130 W WORTHINGTON AV,POINT (512676.5959350054 3896583.0945983194),7,East/West,35.21194,-80.85917,1
258445,97514,CRAPEMYRTLE SPP,7.0,1,1924 EUCLID AV,POINT (512983.1963776544 3896157.6283266824),7,East/West,35.21194,-80.85917,1
258454,101972,HORNBEAM EUROPEAN,10.0,1,2101 SOUTH BV,POINT (512729.70554918615 3896122.863739624),7,East/West,35.21194,-80.85917,1
258690,97389,MAGNOLIA CUCUMBER TREE,7.0,1,101 W WORTHINGTON AV,POINT (512739.7147183359 3896531.001656909),7,East/West,35.21194,-80.85917,1
259013,102006,HORNBEAM EUROPEAN,5.0,1,2041 SOUTH BV,POINT (512738.79701671 3896163.4111800566),7,East/West,35.21194,-80.85917,1
259342,96764,ELM CHINESE,15.0,1,1822 SOUTH BV,POINT (512868.15528052393 3896456.6799346018),7,East/West,35.21194,-80.85917,1
259499,97491,CRAPEMYRTLE SPP,8.0,1,216 E WORTHINGTON AV,POINT (512944.49214182515 3896335.3465154045),7,East/West,35.21194,-80.85917,1
259693,97516,CRAPEMYRTLE SPP,5.0,1, ,POINT (512988.7194617758 3896143.5308693773),7,East/West,35.21194,-80.85917,1
260013,97972,ELM CHINESE,4.0,1,201 WEST BV,POINT (512712.08824931365 3896696.0824052636),7,East/West,35.21194,-80.85917,1
260016,97980,OAK WILLOW,15.0,1,1800 CAMDEN RD,POINT (512828.3389249444 3896628.5507060206),6,Bland,35.21583,-80.85528,1
260016,97980,OAK WILLOW,15.0,1,1800 CAMDEN RD,POINT (512828.3389249444 3896628.5507060206),7,East/West,35.21194,-80.85917,1
260030,97398,CRAPEMYRTLE SPP,3.0,1,1930 HAWKINS ST,POINT (512626.0945816836 3896530.2441898547),7,East/West,35.21194,-80.85917,1
260435,97496,CRAPEMYRTLE SPP,6.0,1,308 E WORTHINGTON AV,POINT (512991.8655742998 3896292.088202855),7,East/West,35.21194,-80.85917,1
260840,96768,ELM CHINESE,9.0,1,1910 SOUTH BV,POINT (512804.86792705586 3896386.6908539166),7,East/West,35.21194,-80.85917,1
261277,96760,ELM CHINESE,15.0,1,1810 SOUTH BV,POINT (512909.1617636769 3896501.6006618943),7,East/West,35.21194,-80.85917,1
261283,96762,ELM CHINESE,14.0,1,1812 SOUTH BV,POINT (512893.9162088842 3896485.4310630425),7,East/West,35.21194,-80.85917,1
261324,97919,ASH GREEN,18.0,1,400 EAST BV,POINT (513152.4532828678 3896326.328170623),7,East/West,35.21194,-80.85917,1
